,nit,entidad_matriz,year,entidad,localizacion,localizacion_desc,mision_vision,pers_estrategica,ppto_global,mes_proyectado,precio_base,date_last_publication,ref_contrato,date_publised,modalidad,contacto,cod_producto,nombre_producto,cod_clase,nombre_clase,cod_familia,nombre_familia,diff_dates,year_publised,rango_precio
684953,899999004,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,2019,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,CO-DC,Distrito Capital de Bogotá,"Producir, proveer y divulgar información y conocimiento, en materia de cartografía, agrología, catastro, geografía y tecnologías geoespaciales, y regular su gestión, en apoyo a los procesos de planificación y desarrollo integral del país. El Instituto Geografico Agustin Codazzi será reconocida en 2014 por ser la entidad líder en la producción y difusión de información, productos, servicios y conocimientos en cartografía, agrología, catastro, geografía y tecnologías geoespaciales, en el ámbito nacional y latinoamericano.","De acuerdo con las (6) estrategias establecidas en el IGAC se definio como PERSPECTIVA ESTRATEGICA la siguiente: Investigar, desarrollar, producir y actualizar la información geográfica a nivel nacional e internacional en apoyar a los procesos de planificación y desarrollo integral del país.",101112688105,Enero,125000000.0,2019-12-09 00:00:00,CD-324-2019-SDR,2019-02-01 00:00:00,CCE-16-Servicios_profesionales_gestion,Dennis Adriana Torres Losada,V1.81101512,Servicios de sistemas de información geográfica (sig),V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,311,2019,81804454-2.9550.000.000
685076,899999004,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,2019,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,CO-DC,Distrito Capital de Bogotá,"Producir, proveer y divulgar información y conocimiento, en materia de cartografía, agrología, catastro, geografía y tecnologías geoespaciales, y regular su gestión, en apoyo a los procesos de planificación y desarrollo integral del país. El Instituto Geografico Agustin Codazzi será reconocida en 2014 por ser la entidad líder en la producción y difusión de información, productos, servicios y conocimientos en cartografía, agrología, catastro, geografía y tecnologías geoespaciales, en el ámbito nacional y latinoamericano.","De acuerdo con las (6) estrategias establecidas en el IGAC se definio como PERSPECTIVA ESTRATEGICA la siguiente: Investigar, desarrollar, producir y actualizar la información geográfica a nivel nacional e internacional en apoyar a los procesos de planificación y desarrollo integral del país.",101112688105,Febrero,24468610.0,2019-12-09 00:00:00,CD-169-2019-SC,2019-02-01 00:00:00,CCE-16-Servicios_profesionales_gestion,Dennis Adriana Torres Losada,V1.81101512,Servicios de sistemas de información geográfica (sig),V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,311,2019,21.000.001-43.827.960
685278,899999004,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,2019,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,CO-DC,Distrito Capital de Bogotá,"Producir, proveer y divulgar información y conocimiento, en materia de cartografía, agrología, catastro, geografía y tecnologías geoespaciales, y regular su gestión, en apoyo a los procesos de planificación y desarrollo integral del país. El Instituto Geografico Agustin Codazzi será reconocida en 2014 por ser la entidad líder en la producción y difusión de información, productos, servicios y conocimientos en cartografía, agrología, catastro, geografía y tecnologías geoespaciales, en el ámbito nacional y latinoamericano.","De acuerdo con las (6) estrategias establecidas en el IGAC se definio como PERSPECTIVA ESTRATEGICA la siguiente: Investigar, desarrollar, producir y actualizar la información geográfica a nivel nacional e internacional en apoyar a los procesos de planificación y desarrollo integral del país.",101112688105,Febrero,180000000.0,2019-12-09 00:00:00,CD-374-2019-SC,2019-02-01 00:00:00,CCE-16-Servicios_profesionales_gestion,Dennis Adriana Torres Losada,V1.81101512,Servicios de sistemas de información geográfica (sig),V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,311,2019,81804454-2.9550.000.000
685295,899999004,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,2019,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,CO-DC,Distrito Capital de Bogotá,"Producir, proveer y divulgar información y conocimiento, en materia de cartografía, agrología, catastro, geografía y tecnologías geoespaciales, y regular su gestión, en apoyo a los procesos de planificación y desarrollo integral del país. El Instituto Geografico Agustin Codazzi será reconocida en 2014 por ser la entidad líder en la producción y difusión de información, productos, servicios y conocimientos en cartografía, agrología, catastro, geografía y tecnologías geoespaciales, en el ámbito nacional y latinoamericano.","De acuerdo con las (6) estrategias establecidas en el IGAC se definio como PERSPECTIVA ESTRATEGICA la siguiente: Investigar, desarrollar, producir y actualizar la información geográfica a nivel nacional e internacional en apoyar a los procesos de planificación y desarrollo integral del país.",101112688105,Febrero,50251610.0,2019-12-09 00:00:00,CD-226-2019-SC,2019-02-01 00:00:00,CCE-16-Servicios_profesionales_gestion,Dennis Adriana Torres Losada,V1.81101512,Servicios de sistemas de información geográfica (sig),V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,311,2019,43.827.961-81804454
685349,899999004,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,2017,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,CO-DC,Distrito Capital de Bogotá,"Producir, proveer y divulgar información y conocimiento, en materia de cartografía, agrología, catastro, geografía y tecnologías geoespaciales, y regular su gestión, en apoyo a los procesos de planificación y desarrollo integral del país. El Instituto Geografico Agustin Codazzi será reconocida en 2014 por ser la entidad líder en la producción y difusión de información, productos, servicios y conocimientos en cartografía, agrología, catastro, geografía y tecnologías geoespaciales, en el ámbito nacional y latinoamericano.","De acuerdo con las (6) estrategias  establecidas en el IGAC se definio como PERSPECTIVA ESTRATEGICA la siguiente: Investigar, desarrollar, producir y actualizar la información geográfica a nivel nacional e internacional en apoyar a los procesos de planificación y desarrollo integral del país.",159347187058,Agosto,29400000.0,2017-12-27 00:00:00,CD 1510-2017-4,2017-01-31 00:00:00,CCE-16-Servicios_profesionales_gestion,Dennis Adriana Torres Losada,V1.81101512,Servicios de sistemas de información geográfica (sig),V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,330,2017,21.000.001-43.827.960
685368,899999004,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,2019,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,CO-DC,Distrito Capital de Bogotá,"Producir, proveer y divulgar información y conocimiento, en materia de cartografía, agrología, catastro, geografía y tecnologías geoespaciales, y regular su gestión, en apoyo a los procesos de planificación y desarrollo integral del país. El Instituto Geografico Agustin Codazzi será reconocida en 2014 por ser la entidad líder en la producción y difusión de información, productos, servicios y conocimientos en cartografía, agrología, catastro, geografía y tecnologías geoespaciales, en el ámbito nacional y latinoamericano.","De acuerdo con las (6) estrategias establecidas en el IGAC se definio como PERSPECTIVA ESTRATEGICA la siguiente: Investigar, desarrollar, producir y actualizar la información geográfica a nivel nacional e internacional en apoyar a los procesos de planificación y desarrollo integral del país.",101112688105,Febrero,45000000.0,2019-12-09 00:00:00,CD-190-2019-SC,2019-02-01 00:00:00,CCE-16-Servicios_profesionales_gestion,Dennis Adriana Torres Losada,V1.81101512,Servicios de sistemas de información geográfica (sig),V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,311,2019,43.827.961-81804454
685369,899999004,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,2017,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,CO-DC,Distrito Capital de Bogotá,"Producir, proveer y divulgar información y conocimiento, en materia de cartografía, agrología, catastro, geografía y tecnologías geoespaciales, y regular su gestión, en apoyo a los procesos de planificación y desarrollo integral del país. El Instituto Geografico Agustin Codazzi será reconocida en 2014 por ser la entidad líder en la producción y difusión de información, productos, servicios y conocimientos en cartografía, agrología, catastro, geografía y tecnologías geoespaciales, en el ámbito nacional y latinoamericano.","De acuerdo con las (6) estrategias  establecidas en el IGAC se definio como PERSPECTIVA ESTRATEGICA la siguiente: Investigar, desarrollar, producir y actualizar la información geográfica a nivel nacional e internacional en apoyar a los procesos de planificación y desarrollo integral del país.",159347187058,Septiembre,13743162.0,2017-12-27 00:00:00,CD_1841 DE 2017,2017-01-31 00:00:00,CCE-16-Servicios_profesionales_gestion,Dennis Adriana Torres Losada,V1.81101512,Servicios de sistemas de información geográfica (sig),V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,330,2017,0-21.000.000
685378,899999004,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,2019,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,CO-DC,Distrito Capital de Bogotá,"Producir, proveer y divulgar información y conocimiento, en materia de cartografía, agrología, catastro, geografía y tecnologías geoespaciales, y regular su gestión, en apoyo a los procesos de planificación y desarrollo integral del país. El Instituto Geografico Agustin Codazzi será reconocida en 2014 por ser la entidad líder en la producción y difusión de información, productos, servicios y conocimientos en cartografía, agrología, catastro, geografía y tecnologías geoespaciales, en el ámbito nacional y latinoamericano.","De acuerdo con las (6) estrategias establecidas en el IGAC se definio como PERSPECTIVA ESTRATEGICA la siguiente: Investigar, desarrollar, producir y actualizar la información geográfica a nivel nacional e internacional en apoyar a los procesos de planificación y desarrollo integral del país.",101112688105,Febrero,243200000.0,2019-12-09 00:00:00,CD-145-2019-SC,2019-02-01 00:00:00,CCE-16-Servicios_profesionales_gestion,Dennis Adriana Torres Losada,V1.81101512,Servicios de sistemas de información geográfica (sig),V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,311,2019,81804454-2.9550.000.000
685379,899999004,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,2019,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,CO-DC,Distrito Capital de Bogotá,"Producir, proveer y divulgar información y conocimiento, en materia de cartografía, agrología, catastro, geografía y tecnologías geoespaciales, y regular su gestión, en apoyo a los procesos de planificación y desarrollo integral del país. El Instituto Geografico Agustin Codazzi será reconocida en 2014 por ser la entidad líder en la producción y difusión de información, productos, servicios y conocimientos en cartografía, agrología, catastro, geografía y tecnologías geoespaciales, en el ámbito nacional y latinoamericano.","De acuerdo con las (6) estrategias establecidas en el IGAC se definio como PERSPECTIVA ESTRATEGICA la siguiente: Investigar, desarrollar, producir y actualizar la información geográfica a nivel nacional e internacional en apoyar a los procesos de planificación y desarrollo integral del país.",101112688105,Febrero,284129875.0,2019-12-09 00:00:00,CD-128-2019-SC,2019-02-01 00:00:00,CCE-16-Servicios_profesionales_gestion,Dennis Adriana Torres Losada,V1.81101512,Servicios de sistemas de información geográfica (sig),V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,311,2019,81804454-2.9550.000.000
685496,899999004,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,2019,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,CO-DC,Distrito Capital de Bogotá,"Producir, proveer y divulgar información y conocimiento, en materia de cartografía, agrología, catastro, geografía y tecnologías geoespaciales, y regular su gestión, en apoyo a los procesos de planificación y desarrollo integral del país. El Instituto Geografico Agustin Codazzi será reconocida en 2014 por ser la entidad líder en la producción y difusión de información, productos, servicios y conocimientos en cartografía, agrología, catastro, geografía y tecnologías geoespaciales, en el ámbito nacional y latinoamericano.","De acuerdo con las (6) estrategias establecidas en el IGAC se definio como PERSPECTIVA ESTRATEGICA la siguiente: Investigar, desarrollar, producir y actualizar la información geográfica a nivel nacional e internacional en apoyar a los procesos de planificación y desarrollo integral del país.",101112688105,Febrero,46000000.0,2019-12-09 00:00:00,CD-171-2019 SC,2019-02-01 00:00:00,CCE-16-Servicios_profesionales_gestion,Dennis Adriana Torres Losada,V1.81101512,Servicios de sistemas de información geográfica (sig),V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,311,2019,43.827.961-81804454
685516,899999004,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,2019,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,CO-DC,Distrito Capital de Bogotá,"Producir, proveer y divulgar información y conocimiento, en materia de cartografía, agrología, catastro, geografía y tecnologías geoespaciales, y regular su gestión, en apoyo a los procesos de planificación y desarrollo integral del país. El Instituto Geografico Agustin Codazzi será reconocida en 2014 por ser la entidad líder en la producción y difusión de información, productos, servicios y conocimientos en cartografía, agrología, catastro, geografía y tecnologías geoespaciales, en el ámbito nacional y latinoamericano.","De acuerdo con las (6) estrategias establecidas en el IGAC se definio como PERSPECTIVA ESTRATEGICA la siguiente: Investigar, desarrollar, producir y actualizar la información geográfica a nivel nacional e internacional en apoyar a los procesos de planificación y desarrollo integral del país.",101112688105,Febrero,65990000.0,2019-12-09 00:00:00,CD-156-2019-SC,2019-02-01 00:00:00,CCE-16-Servicios_profesionales_gestion,Dennis Adriana Torres Losada,V1.81101512,Servicios de sistemas de información geográfica (sig),V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,311,2019,43.827.961-81804454
685525,899999004,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,2019,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,CO-DC,Distrito Capital de Bogotá,"Producir, proveer y divulgar información y conocimiento, en materia de cartografía, agrología, catastro, geografía y tecnologías geoespaciales, y regular su gestión, en apoyo a los procesos de planificación y desarrollo integral del país. El Instituto Geografico Agustin Codazzi será reconocida en 2014 por ser la entidad líder en la producción y difusión de información, productos, servicios y conocimientos en cartografía, agrología, catastro, geografía y tecnologías geoespaciales, en el ámbito nacional y latinoamericano.","De acuerdo con las (6) estrategias establecidas en el IGAC se definio como PERSPECTIVA ESTRATEGICA la siguiente: Investigar, desarrollar, producir y actualizar la información geográfica a nivel nacional e internacional en apoyar a los procesos de planificación y desarrollo integral del país.",101112688105,Febrero,55500000.0,2019-12-09 00:00:00,CD-146-2019-SC,2019-02-01 00:00:00,CCE-16-Servicios_profesionales_gestion,Dennis Adriana Torres Losada,V1.81101512,Servicios de sistemas de información geográfica (sig),V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,311,2019,43.827.961-81804454
685546,899999004,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,2019,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,CO-DC,Distrito Capital de Bogotá,"Producir, proveer y divulgar información y conocimiento, en materia de cartografía, agrología, catastro, geografía y tecnologías geoespaciales, y regular su gestión, en apoyo a los procesos de planificación y desarrollo integral del país. El Instituto Geografico Agustin Codazzi será reconocida en 2014 por ser la entidad líder en la producción y difusión de información, productos, servicios y conocimientos en cartografía, agrología, catastro, geografía y tecnologías geoespaciales, en el ámbito nacional y latinoamericano.","De acuerdo con las (6) estrategias establecidas en el IGAC se definio como PERSPECTIVA ESTRATEGICA la siguiente: Investigar, desarrollar, producir y actualizar la información geográfica a nivel nacional e internacional en apoyar a los procesos de planificación y desarrollo integral del país.",101112688105,Febrero,25000000.0,2019-12-09 00:00:00,CD-182-2019-SC,2019-02-01 00:00:00,CCE-16-Servicios_profesionales_gestion,Dennis Adriana Torres Losada,V1.81101512,Servicios de sistemas de información geográfica (sig),V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,311,2019,21.000.001-43.827.960
685593,899999004,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,2019,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,CO-DC,Distrito Capital de Bogotá,"Producir, proveer y divulgar información y conocimiento, en materia de cartografía, agrología, catastro, geografía y tecnologías geoespaciales, y regular su gestión, en apoyo a los procesos de planificación y desarrollo integral del país. El Instituto Geografico Agustin Codazzi será reconocida en 2014 por ser la entidad líder en la producción y difusión de información, productos, servicios y conocimientos en cartografía, agrología, catastro, geografía y tecnologías geoespaciales, en el ámbito nacional y latinoamericano.","De acuerdo con las (6) estrategias establecidas en el IGAC se definio como PERSPECTIVA ESTRATEGICA la siguiente: Investigar, desarrollar, producir y actualizar la información geográfica a nivel nacional e internacional en apoyar a los procesos de planificación y desarrollo integral del país.",101112688105,Febrero,15600000.0,2019-12-09 00:00:00,CD-389-2019-SUC,2019-02-01 00:00:00,CCE-16-Servicios_profesionales_gestion,Dennis Adriana Torres Losada,V1.81101512,Servicios de sistemas de información geográfica (sig),V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,311,2019,0-21.000.000
685594,899999004,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,2019,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,CO-DC,Distrito Capital de Bogotá,"Producir, proveer y divulgar información y conocimiento, en materia de cartografía, agrología, catastro, geografía y tecnologías geoespaciales, y regular su gestión, en apoyo a los procesos de planificación y desarrollo integral del país. El Instituto Geografico Agustin Codazzi será reconocida en 2014 por ser la entidad líder en la producción y difusión de información, productos, servicios y conocimientos en cartografía, agrología, catastro, geografía y tecnologías geoespaciales, en el ámbito nacional y latinoamericano.","De acuerdo con las (6) estrategias establecidas en el IGAC se definio como PERSPECTIVA ESTRATEGICA la siguiente: Investigar, desarrollar, producir y actualizar la información geográfica a nivel nacional e internacional en apoyar a los procesos de planificación y desarrollo integral del país.",101112688105,Enero,29000000.0,2019-12-09 00:00:00,CD-385-2019-NAR,2019-02-01 00:00:00,CCE-16-Servicios_profesionales_gestion,Dennis Adriana Torres Losada,V1.81101512,Servicios de sistemas de información geográfica (sig),V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,311,2019,21.000.001-43.827.960
685649,899999004,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,2019,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,CO-DC,Distrito Capital de Bogotá,"Producir, proveer y divulgar información y conocimiento, en materia de cartografía, agrología, catastro, geografía y tecnologías geoespaciales, y regular su gestión, en apoyo a los procesos de planificación y desarrollo integral del país. El Instituto Geografico Agustin Codazzi será reconocida en 2014 por ser la entidad líder en la producción y difusión de información, productos, servicios y conocimientos en cartografía, agrología, catastro, geografía y tecnologías geoespaciales, en el ámbito nacional y latinoamericano.","De acuerdo con las (6) estrategias establecidas en el IGAC se definio como PERSPECTIVA ESTRATEGICA la siguiente: Investigar, desarrollar, producir y actualizar la información geográfica a nivel nacional e internacional en apoyar a los procesos de planificación y desarrollo integral del país.",101112688105,Febrero,52002000.0,2019-12-09 00:00:00,CD-329-2019-1SUC,2019-02-01 00:00:00,CCE-16-Servicios_profesionales_gestion,Dennis Adriana Torres Losada,V1.81101512,Servicios de sistemas de información geográfica (sig),V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,311,2019,43.827.961-81804454
685706,899999004,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,2019,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,CO-DC,Distrito Capital de Bogotá,"Producir, proveer y divulgar información y conocimiento, en materia de cartografía, agrología, catastro, geografía y tecnologías geoespaciales, y regular su gestión, en apoyo a los procesos de planificación y desarrollo integral del país. El Instituto Geografico Agustin Codazzi será reconocida en 2014 por ser la entidad líder en la producción y difusión de información, productos, servicios y conocimientos en cartografía, agrología, catastro, geografía y tecnologías geoespaciales, en el ámbito nacional y latinoamericano.","De acuerdo con las (6) estrategias establecidas en el IGAC se definio como PERSPECTIVA ESTRATEGICA la siguiente: Investigar, desarrollar, producir y actualizar la información geográfica a nivel nacional e internacional en apoyar a los procesos de planificación y desarrollo integral del país.",101112688105,Febrero,43700000.0,2019-12-09 00:00:00,CD-211-2019-SC,2019-02-01 00:00:00,CCE-16-Servicios_profesionales_gestion,Dennis Adriana Torres Losada,V1.81101512,Servicios de sistemas de información geográfica (sig),V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,311,2019,21.000.001-43.827.960
685736,899999004,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,2019,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,CO-DC,Distrito Capital de Bogotá,"Producir, proveer y divulgar información y conocimiento, en materia de cartografía, agrología, catastro, geografía y tecnologías geoespaciales, y regular su gestión, en apoyo a los procesos de planificación y desarrollo integral del país. El Instituto Geografico Agustin Codazzi será reconocida en 2014 por ser la entidad líder en la producción y difusión de información, productos, servicios y conocimientos en cartografía, agrología, catastro, geografía y tecnologías geoespaciales, en el ámbito nacional y latinoamericano.","De acuerdo con las (6) estrategias establecidas en el IGAC se definio como PERSPECTIVA ESTRATEGICA la siguiente: Investigar, desarrollar, producir y actualizar la información geográfica a nivel nacional e internacional en apoyar a los procesos de planificación y desarrollo integral del país.",101112688105,Enero,81804454.0,2019-12-09 00:00:00,CD-288-2019-ATL,2019-02-01 00:00:00,CCE-16-Servicios_profesionales_gestion,Dennis Adriana Torres Losada,V1.81101512,Servicios de sistemas de información geográfica (sig),V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,311,2019,43.827.961-81804454
685759,899999004,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,2019,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,CO-DC,Distrito Capital de Bogotá,"Producir, proveer y divulgar información y conocimiento, en materia de cartografía, agrología, catastro, geografía y tecnologías geoespaciales, y regular su gestión, en apoyo a los procesos de planificación y desarrollo integral del país. El Instituto Geografico Agustin Codazzi será reconocida en 2014 por ser la entidad líder en la producción y difusión de información, productos, servicios y conocimientos en cartografía, agrología, catastro, geografía y tecnologías geoespaciales, en el ámbito nacional y latinoamericano.","De acuerdo con las (6) estrategias establecidas en el IGAC se definio como PERSPECTIVA ESTRATEGICA la siguiente: Investigar, desarrollar, producir y actualizar la información geográfica a nivel nacional e internacional en apoyar a los procesos de planificación y desarrollo integral del país.",101112688105,Enero,38500000.0,2019-12-09 00:00:00,CD-48-2019-SC,2019-02-01 00:00:00,CCE-16-Servicios_profesionales_gestion,Dennis Adriana Torres Losada,V1.81101512,Servicios de sistemas de información geográfica (sig),V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,311,2019,21.000.001-43.827.960
685772,899999004,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,2019,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,CO-DC,Distrito Capital de Bogotá,"Producir, proveer y divulgar información y conocimiento, en materia de cartografía, agrología, catastro, geografía y tecnologías geoespaciales, y regular su gestión, en apoyo a los procesos de planificación y desarrollo integral del país. El Instituto Geografico Agustin Codazzi será reconocida en 2014 por ser la entidad líder en la producción y difusión de información, productos, servicios y conocimientos en cartografía, agrología, catastro, geografía y tecnologías geoespaciales, en el ámbito nacional y latinoamericano.","De acuerdo con las (6) estrategias establecidas en el IGAC se definio como PERSPECTIVA ESTRATEGICA la siguiente: Investigar, desarrollar, producir y actualizar la información geográfica a nivel nacional e internacional en apoyar a los procesos de planificación y desarrollo integral del país.",101112688105,Enero,36500000.0,2019-12-09 00:00:00,CD-158-2019-SC,2019-02-01 00:00:00,CCE-16-Servicios_profesionales_gestion,Dennis Adriana Torres Losada,V1.81101512,Servicios de sistemas de información geográfica (sig),V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,311,2019,21.000.001-43.827.960
685783,899999004,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,2019,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,CO-DC,Distrito Capital de Bogotá,"Producir, proveer y divulgar información y conocimiento, en materia de cartografía, agrología, catastro, geografía y tecnologías geoespaciales, y regular su gestión, en apoyo a los procesos de planificación y desarrollo integral del país. El Instituto Geografico Agustin Codazzi será reconocida en 2014 por ser la entidad líder en la producción y difusión de información, productos, servicios y conocimientos en cartografía, agrología, catastro, geografía y tecnologías geoespaciales, en el ámbito nacional y latinoamericano.","De acuerdo con las (6) estrategias establecidas en el IGAC se definio como PERSPECTIVA ESTRATEGICA la siguiente: Investigar, desarrollar, producir y actualizar la información geográfica a nivel nacional e internacional en apoyar a los procesos de planificación y desarrollo integral del país.",101112688105,Enero,32000000.0,2019-12-09 00:00:00,378 DE 2019,2019-02-01 00:00:00,CCE-16-Servicios_profesionales_gestion,Dennis Adriana Torres Losada,V1.81101512,Servicios de sistemas de información geográfica (sig),V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,311,2019,21.000.001-43.827.960
685848,899999004,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,2017,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,CO-DC,Distrito Capital de Bogotá,"Producir, proveer y divulgar información y conocimiento, en materia de cartografía, agrología, catastro, geografía y tecnologías geoespaciales, y regular su gestión, en apoyo a los procesos de planificación y desarrollo integral del país. El Instituto Geografico Agustin Codazzi será reconocida en 2014 por ser la entidad líder en la producción y difusión de información, productos, servicios y conocimientos en cartografía, agrología, catastro, geografía y tecnologías geoespaciales, en el ámbito nacional y latinoamericano.","De acuerdo con las (6) estrategias  establecidas en el IGAC se definio como PERSPECTIVA ESTRATEGICA la siguiente: Investigar, desarrollar, producir y actualizar la información geográfica a nivel nacional e internacional en apoyar a los procesos de planificación y desarrollo integral del país.",159347187058,Agosto,29400000.0,2017-12-27 00:00:00,CD 1510-2017 - 1,2017-01-31 00:00:00,CCE-16-Servicios_profesionales_gestion,Dennis Adriana Torres Losada,V1.81101512,Servicios de sistemas de información geográfica (sig),V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,330,2017,21.000.001-43.827.960
685864,899999004,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,2019,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,CO-DC,Distrito Capital de Bogotá,"Producir, proveer y divulgar información y conocimiento, en materia de cartografía, agrología, catastro, geografía y tecnologías geoespaciales, y regular su gestión, en apoyo a los procesos de planificación y desarrollo integral del país. El Instituto Geografico Agustin Codazzi será reconocida en 2014 por ser la entidad líder en la producción y difusión de información, productos, servicios y conocimientos en cartografía, agrología, catastro, geografía y tecnologías geoespaciales, en el ámbito nacional y latinoamericano.","De acuerdo con las (6) estrategias establecidas en el IGAC se definio como PERSPECTIVA ESTRATEGICA la siguiente: Investigar, desarrollar, producir y actualizar la información geográfica a nivel nacional e internacional en apoyar a los procesos de planificación y desarrollo integral del país.",101112688105,Febrero,55900000.0,2019-12-09 00:00:00,CD-216-2019-SC,2019-02-01 00:00:00,CCE-16-Servicios_profesionales_gestion,Dennis Adriana Torres Losada,V1.81101512,Servicios de sistemas de información geográfica (sig),V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,311,2019,43.827.961-81804454
